lp,symbol,decimals,liquidity,type,tick,sqrt_ratio,token0,reserve0,staked0,token1,reserve1,staked1,gauge,gauge_liquidity,gauge_alive,fee,bribe,factory,emissions,emissions_token,emissions_cap,pool_fee,unstaked_fee,token0_fees,token1_fees,locked,emerging,created_at,nfpm,alm,root,chain_id,chain_name,chain_key
0x6A8b88F9AD786930E1E805068657C03C58cE890D,vAMMV2-WETH/USDC,18,9486000,-1,0,0,0x4200000000000000000000000000000000000006,32429314669529,0,0xb91CFCcA485C6E40E3bC622f9BFA02a8ACdEeBab,59,0,0xD161Be5DcD49bFC3d26E0e79aE9fdb9Ee4539444,9485000,False,0xaFBD359Ad39fbFCfb60B5417187F072B3dA217D8,0x308754336Cdd9eE6F773e0C1D9F2D1f9c20d8Ce7,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,0,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,0,30,0,202489310,2,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x397b9A73e1eAe9B101b0ffB2642A985b63b5C14F,1750,Metal L2,metal
0x15CaeEe05601740cE439c4BDB204Fe45Ff3794B6,vAMMV2-USDC/MTL,18,78756,-1,0,0,0xb91CFCcA485C6E40E3bC622f9BFA02a8ACdEeBab,114711,0,0xBCFc435d8F276585f6431Fc1b9EE9A850B5C00A9,61636,0,0x6cB85E3A85B80BC28083DF23783f760A9A2d6e46,66334,False,0x210aECfbd69894DAF5006bF245F7235354E775C6,0xd9F5cF355191610B04F1936192bd898829C9b2d7,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,0,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,0,30,0,1031,170173,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0xaDE783B14ACe589a0571c092132498dA5653bf65,1750,Metal L2,metal
0xEB020acF5EDEA9bD3dB2D177126022de1C6F694B,vAMMV2-WETH/USDC.e,18,5815405630260839,-1,0,0,0x4200000000000000000000000000000000000006,107710443061985247355,107707131568784659926,0x51E85d70944256710cb141847F1a04f568C1Db0e,313981366873,313971713703,0xC4C5230223B4b242e5Fd25b9A8E6d5BBe82aC603,5815226839090217,True,0x07d806C08Ad7A3Fe6fcD633B5c0704ba971eC28e,0x020F2C9B09148E4F3FDe956C780F330011A54D9e,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,155570679165450823,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,0,30,0,0,0,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x4A0E43f1DD3e0e4ED09363ED165Eb396728bDA13,1750,Metal L2,metal
0xd9319A89885F2328E1df33FD10908E68b9683d86,vAMMV2-USDC.e/MTL,18,5139147661,-1,0,0,0x51E85d70944256710cb141847F1a04f568C1Db0e,309429882,309390533,0xBCFc435d8F276585f6431Fc1b9EE9A850B5C00A9,85353253570,85342399668,0x8210c1F94520204e58C7806535Dda35D66314d22,5138494144,True,0xb957c550333222013aDe8baeF10e4608b3A850F6,0x6dDD1349FF177ebC008AcEA6Bd8aBCe171728FaD,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,20523836186468,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,0,100,0,0,0,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x8eBd178840a10796dFB4CAc7404bcc3d424C4f75,1750,Metal L2,metal
0x173c249bD99d8C04ebF65F19039DBC1e94787CD2,sAMMV2-USDC.e/MTL,18,529277,0,0,0,0x51E85d70944256710cb141847F1a04f568C1Db0e,12930,0,0xBCFc435d8F276585f6431Fc1b9EE9A850B5C00A9,10617247,0,0x0000000000000000000000000000000000000000,0,False,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,0,0x0000000000000000000000000000000000000000,0,200,0,2426,226337,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0xf55DD09fbc64bc5F21A5c68D2cBEf9887d776cb9,1750,Metal L2,metal
0x619Cd94166bDd479BF12a1Ef054D47907C1F7089,vAMMV2-XVELO/MTL,18,1000,-1,0,0,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,264718996,0,0xBCFc435d8F276585f6431Fc1b9EE9A850B5C00A9,1,0,0x0000000000000000000000000000000000000000,0,False,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,0,0x0000000000000000000000000000000000000000,0,30,0,0,576355,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0xc7e6E00559f2e398922dB100C97a1c03B32a58Dc,1750,Metal L2,metal
0x516DF427d03bCDD5B07481b134128cBdD6b9e399,vAMMV2-WETH/MTL,18,39124363349874305,-1,0,0,0x4200000000000000000000000000000000000006,43889315163002131320,43888748979362289934,0xBCFc435d8F276585f6431Fc1b9EE9A850B5C00A9,34876730691486,34876280772542,0x61075041dCe545669454166939793b1fD350bd1B,39123858635358582,True,0x61680738D3cC991DCf705464C6E06E935B876533,0xd51CF6EDa68E453e46f1E3bD3c0E052fA772B5f6,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,190933094534170301,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,0,100,0,14817692358729401,10091176831,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0xB3251DB497c526706BF0b0139c5D91D11Fb2d55C,1750,Metal L2,metal
0xc24278d4EBAF9Cb050bC8f84D00309bdE4d36A9E,vAMMV2-WETH/XOP,18,0,-1,0,0,0x4200000000000000000000000000000000000006,0,0,0xafcc6AE807187A31E84138F3860D4CE27973e01b,0,0,0xfbe6597293e92798EC6447dD64907FC4c966236B,0,True,0xd3d037F4B2C8D6A83cA9d20Da61a28B3a495FD81,0xfDab94E95317AC92eb4c14f47F377473520B421F,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,0,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,0,30,0,0,0,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x716420EF68b887919023f5856d08A50dB2423382,1750,Metal L2,metal
0x7E6e52efaE5386804Fb922211CeE7d22AD87E378,sAMMV2-oUSDT/USDC.e,18,25392360,0,0,0,0x1217BfE6c773EEC6cc4A38b5Dc45B92292B6E189,26865606,0,0x51E85d70944256710cb141847F1a04f568C1Db0e,23919409,0,0x283773Ff42BEdA7555C633d777264D79A8361965,4982,True,0x62af7D48462Ff97Cb69a09100590731Eb3280daA,0x6Ef32d8806D41036104c66cFBcdC796Af7267106,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,0,0x7f9AdFbd38b669F03d1d11000Bc76b9AaEA28A81,0,5,0,2235412,2341449,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x899bb21D59f44Fed219D1058D7F395b4BeacDF64,1750,Metal L2,metal
0x268DdC5A13ac4a3d9251EA9943Cf271618a2bC0a,vAMMV2-oUSDT/WETH,18,1000,-1,0,0,0x1217BfE6c773EEC6cc4A38b5Dc45B92292B6E189,1,0,0x4200000000000000000000000000000000000006,19079728,0,0x0000000000000000000000000000000000000000,0,False,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x31832f2a97Fd20664D76Cc421207669b55CE4BC0,0,0x0000000000000000000000000000000000000000,0,30,0,1,6738,0,0,0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0xE96a48891686A15f7b55De3fCE9c97f412744A66,1750,Metal L2,metal
